Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Sh,SoT,Fls,Fld,Off,Crs,Int,TklW,OG,SoT%,G/Sh,G/SoT,PPM,+/-90,On-Off,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,OG_per90,Gls_per90_z,Ast_per90_z,G-PK_per90_z,Sh_per90_z,SoT_per90_z,Crs_per90_z,Fld_per90_z,TklW_per90_z,Int_per90_z,Fls_per90_z,Off_per90_z,CrdY_per90_z
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,24.0,2000.0,37,30,2449,27.2,4,5,9,4,0,0,3,0,47,17,20,51,5,37,17,27,0,36.2,0.09,0.24,1.19,0.15,1.17,,,,,,,,,,,,,,,MF,FW,True,Midfielder,True,True,True,0.1469987750102082,0.1837484687627603,0.3307472437729686,0.1469987750102082,0.0,0.0,0.1102490812576561,0.0,1.7272356063699468,0.6247447937933851,0.7349938750510413,1.874234381380155,0.1837484687627603,1.3597386688444262,0.6247447937933851,0.9922417313189056,0.0,0.07317267740950209,0.5774066191460077,0.1745415330454329,0.4424129192975809,0.5142080691439658,-0.5419394771182304,0.9533564884513444,-0.12331907028741267,-0.40165413175497977,-0.9322243455783804,0.24722047492981347,-0.665809032204601
Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25.0,1999.0,13,11,943,10.5,2,0,2,0,2,2,1,0,11,5,16,12,1,9,13,17,0,45.5,0.0,0.0,1.38,-0.1,0.67,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,False,0.1908801696712619,0.0,0.1908801696712619,0.0,0.1908801696712619,0.1908801696712619,0.0954400848356309,0.0,1.0498409331919407,0.4772004241781548,1.5270413573700956,1.1452810180275717,0.0954400848356309,0.8589607635206787,1.2407211028632026,1.6224814422057263,0.0,0.4037229982389867,-1.1563710848352395,-1.0585089693537577,-0.4507182824118244,0.05715922113535474,-0.8031264656749613,-0.15058041610057496,1.3795241902114357,1.1579653141544615,0.6656740091861478,-0.28649490572566394,-0.7890110169000925
Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,31.0,1993.0,22,13,1187,13.2,3,0,3,3,0,0,4,1,16,4,22,18,1,33,10,11,0,25.0,0.19,0.75,0.68,0.15,1.35,,,,,,,,,,,,,,,MF,DF,True,Midfielder,True,True,False,0.227464195450716,0.0,0.227464195450716,0.227464195450716,0.0,0.0,0.3032855939342881,0.075821398483572,1.2131423757371524,0.3032855939342881,1.6680707666385846,1.3647851727042966,0.075821398483572,2.5021061499578767,0.7582139848357202,0.8340353833192923,0.0,0.6793036071061322,-1.1563710848352395,0.8494990426780141,-0.23540862705680224,-0.4815775196963149,0.05387659033439901,0.18183966621531336,-0.5005713121761366,-0.06371719698264883,0.9501906146600044,-0.40506569355697414,0.9401391902614499
Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000.0,18,12,911,10.1,0,0,0,0,0,0,3,0,1,0,19,10,0,2,11,7,0,0.0,0.0,,1.06,-0.2,0.68,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.2963776070252469,0.0,0.0987925356750823,0.0,1.8770581778265645,0.9879253567508234,0.0,0.1975850713501646,1.0867178924259056,0.6915477497255763,0.0,-1.0341415412128914,-1.1563710848352395,-1.0585089693537577,-1.7046563952892302,-1.421066648876647,-1.148075241382156,-0.38888197331494595,-0.8403413649857734,0.7680373279739597,1.3718075605607962,-0.8633126317738823,0.8826688747052549
Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999.0,25,14,1352,15.0,2,4,6,2,0,0,4,1,8,3,26,14,1,47,9,22,0,37.5,0.25,0.67,1.84,1.2,0.51,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.1331360946745562,0.2662721893491124,0.3994082840236686,0.1331360946745562,0.0,0.0,0.2662721893491124,0.0665680473372781,0.5325443786982248,0.1997041420118343,1.7307692307692308,0.9319526627218936,0.0665680473372781,3.1286982248520707,0.599112426035503,1.4644970414201184,0.0,-0.031252295130701165,1.3560677299872896,0.05825903374373439,-1.13276334660987,-0.8024422426245829,0.38068353480077927,-0.47364778371129834,1.002801194368292,-0.46655393165193326,1.0766802190297908,-0.46099080066184817,0.6322098225124883
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32.0,1993.0,28,27,2318,25.8,1,0,1,1,0,0,7,0,22,5,24,27,1,9,28,23,0,22.7,0.05,0.2,1.39,-0.04,0.2,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.0388265746333045,0.0,0.0388265746333045,0.0388265746333045,0.0,0.0,0.271786022433132,0.0,0.8541846419327006,0.1941328731665228,0.9318377911993097,1.0483175150992234,0.0388265746333045,0.3494391716997411,1.087144089732528,0.8930112165660051,0.0,-0.7416682321742549,-1.1563710848352395,-0.7328251168542308,-0.7086871526341778,-0.8197003868312125,-1.0688738334353411,-0.2974232659434357,-0.3599400063474201,0.7691164370199006,-0.5351060202504774,-0.6286538243263115,0.6780816128669339
Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22.0,2003.0,33,28,2584,28.7,6,4,10,6,0,1,6,0,84,22,32,42,5,62,9,13,0,26.2,0.07,0.27,0.61,-0.84,-1.02,,,,,,,,,,,,,,,FW,MF,True,Forward,True,True,True,0.2089783281733746,0.1393188854489164,0.348297213622291,0.2089783281733746,0.0,0.0348297213622291,0.2089783281733746,0.0,2.9256965944272446,0.7662538699690402,1.1145510835913313,1.4628482972136223,0.1741486068111455,2.1594427244582044,0.3134674922600619,0.4527863777089783,0.0,-0.8485204281603334,0.23695826027090855,-0.7180117740718743,0.5616736806915272,-0.6536086357049049,0.7035560197490489,0.05264910537216109,-0.13407444697711987,0.22510306856110376,-0.45449243519121796,-1.0477911385141219,0.6323821229184184
Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,2000.0,26,25,2150,23.9,3,2,5,3,0,0,4,1,17,7,23,6,1,61,8,24,0,41.2,0.18,0.43,1.81,0.42,0.12,,,,,,,,,,,,,,,DF,MF,True,Defender,True,True,True,0.1255813953488372,0.0837209302325581,0.2093023255813953,0.1255813953488372,0.0,0.0,0.1674418604651162,0.041860465116279,0.7116279069767442,0.2930232558139535,0.9627906976744186,0.2511627906976744,0.041860465116279,2.5534883720930233,0.3348837209302325,1.0046511627906978,0.0,1.5242019258864767,0.5288943907183085,1.6371544923282393,0.4225999281931169,0.9713439795709355,0.9272270862927023,-1.1643037432183907,-0.11668554291229424,-2.0341526290930525,-0.21103985261634137,-0.2637880633775405,-0.31242173221034525
Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26.0,1999.0,23,17,1437,16.0,0,2,2,0,0,0,10,1,7,1,30,36,1,2,20,17,0,14.3,0.0,0.0,1.17,0.06,0.38,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.0,0.1252609603340292,0.1252609603340292,0.0,0.0,0.0,0.6263048016701461,0.0626304801670146,0.4384133611691023,0.0626304801670146,1.8789144050104385,2.2546972860125263,0.0626304801670146,0.1252609603340292,1.2526096033402925,1.0647181628392484,0.0,-0.809444991619996,1.1903519917122196,-0.8221765122714052,-0.41221029630382755,-0.7552810394646422,-0.7082030562506698,3.328243112867714,0.03729124430345555,0.458119505781664,2.160321451402074,0.00622817753520523,3.7139717417247984
Francesco Acerbi,it ITA,DF,Inter,it Serie A,37.0,1988.0,18,15,1378,15.3,0,1,1,0,0,0,3,0,3,1,17,13,3,3,18,9,0,33.3,0.0,0.0,2.11,1.04,-0.63,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.0,0.0653120464441219,0.0653120464441219,0.0,0.0,0.0,0.1959361393323657,0.0,0.1959361393323657,0.0653120464441219,1.1103047895500726,0.8490566037735848,0.1959361393323657,0.1959361393323657,1.1756168359941943,0.5878084179970973,0.0,-0.809444991619996,0.2357627757933718,-0.8221765122714052,-1.1531022696742281,-0.7351846652998949,-0.6606027707486627,0.17635995710158003,-1.1852274472130748,0.24902991560942872,0.1707963628097907,1.7392405461973557,-0.062392435500768534
