Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Sh,SoT,Fls,Fld,Off,Crs,Int,TklW,OG,SoT%,G/Sh,G/SoT,PPM,+/-90,On-Off,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,OG_per90
Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24.0,2000.0,18,18,1620,18.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,,,,0.89,-0.72,-0.92,30.0,1.67,79.0,52.0,65.8,3.0,7.0,8.0,4.0,22.2,4.0,3.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0
Alisson,br BRA,GK,Liverpool,eng Premier League,32.0,1992.0,26,26,2340,26.0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,,,,1.81,0.5,0.75,31.0,1.19,86.0,57.0,66.3,13.0,8.0,5.0,8.0,30.8,2.0,2.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.2692307692307693,0.0,0.0,0.0,0.0,0.0
Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,32.0,1993.0,20,20,1800,20.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,,0.85,-0.6,-0.21,37.0,1.85,108.0,76.0,70.4,4.0,5.0,11.0,0.0,0.0,6.0,5.0,0.0,1.0,GK,,False,Goalkeeper,True,True,True,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.05,0.0,0.0
Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23.0,2002.0,34,34,3060,34.0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,,,,1.38,-0.18,,57.0,1.68,156.0,100.0,63.5,13.0,8.0,13.0,6.0,17.6,1.0,0.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.1764705882352941,0.0,0.0,0.029411764705882353,0.0,0.0
Emil Audero,id IDN,GK,Cremonese,it Serie A,28.0,1997.0,34,34,3060,34.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,,,0.91,-0.65,0.1,50.0,1.47,167.0,123.0,72.5,8.0,7.0,19.0,11.0,32.4,6.0,4.0,2.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1764705882352941,0.0,0.0,0.0,0.0,0.0
Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21.0,2004.0,32,32,2880,32.0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,1,,,,0.91,-0.62,0.87,56.0,1.75,151.0,100.0,66.2,7.0,8.0,17.0,5.0,15.6,5.0,5.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.40624999999999994,0.0,0.0,0.0,0.0,0.03125
Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29.0,1996.0,34,34,3060,34.0,0,0,0,0,0,0,6,0,0,0,1,4,0,0,0,1,0,,,,1.31,-0.03,0.47,37.0,1.09,122.0,91.0,73.8,10.0,13.0,11.0,11.0,32.4,6.0,5.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.1764705882352941,0.0,0.0,0.0,0.029411764705882353,0.11764705882352941,0.0,0.0,0.0,0.029411764705882353,0.0
Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,34.0,1991.0,21,21,1890,21.0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,,,,1.62,0.24,1.32,27.0,1.29,96.0,70.0,72.9,9.0,7.0,5.0,4.0,19.0,1.0,1.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809525,0.0,0.0,0.0,0.0,0.04761904761904762,0.0,0.0,0.0,0.0,0.0
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,35.0,1990.0,34,34,3060,34.0,0,0,0,0,0,0,3,0,0,0,1,6,0,0,1,0,0,,,,1.79,0.38,,52.0,1.53,145.0,98.0,67.6,18.0,7.0,9.0,7.0,20.6,7.0,5.0,0.0,2.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764705,0.0,0.0,0.0,0.029411764705882353,0.1764705882352941,0.0,0.0,0.029411764705882353,0.0,0.0
Justin Bijlow,nl NED,GK,Genoa,it Serie A,27.0,1998.0,16,16,1395,15.5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,1.31,-0.06,0.34,20.0,1.29,60.0,45.0,75.0,6.0,3.0,7.0,5.0,31.3,5.0,5.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0,0.0,0.0
