Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Sh,SoT,Fls,Fld,Off,Crs,Int,TklW,OG,SoT%,G/Sh,G/SoT,PPM,+/-90,On-Off,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,OG_per90
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,24.0,2000.0,37,30,2449,27.2,4,5,9,4,0,0,3,0,47,17,20,51,5,37,17,27,0,36.2,0.09,0.24,1.19,0.15,1.17,,,,,,,,,,,,,,,MF,FW,True,Midfielder,True,True,True,0.14699877501020825,0.18374846876276033,0.3307472437729686,0.14699877501020825,0.0,0.0,0.11024908125765619,0.0,1.7272356063699468,0.6247447937933851,0.7349938750510413,1.874234381380155,0.18374846876276033,1.3597386688444262,0.6247447937933851,0.9922417313189057,0.0
Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25.0,1999.0,13,11,943,10.5,2,0,2,0,2,2,1,0,11,5,16,12,1,9,13,17,0,45.5,0.0,0.0,1.38,-0.1,0.67,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,False,0.19088016967126195,0.0,0.19088016967126195,0.0,0.19088016967126195,0.19088016967126195,0.09544008483563098,0.0,1.0498409331919407,0.47720042417815484,1.5270413573700956,1.1452810180275717,0.09544008483563098,0.8589607635206787,1.2407211028632026,1.6224814422057265,0.0
Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,31.0,1993.0,22,13,1187,13.2,3,0,3,3,0,0,4,1,16,4,22,18,1,33,10,11,0,25.0,0.19,0.75,0.68,0.15,1.35,,,,,,,,,,,,,,,MF,DF,True,Midfielder,True,True,False,0.22746419545071608,0.0,0.22746419545071608,0.22746419545071608,0.0,0.0,0.3032855939342881,0.07582139848357203,1.2131423757371524,0.3032855939342881,1.6680707666385846,1.3647851727042966,0.07582139848357203,2.5021061499578767,0.7582139848357202,0.8340353833192923,0.0
Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000.0,18,12,911,10.1,0,0,0,0,0,0,3,0,1,0,19,10,0,2,11,7,0,0.0,0.0,,1.06,-0.2,0.68,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.29637760702524696,0.0,0.09879253567508232,0.0,1.8770581778265643,0.9879253567508234,0.0,0.19758507135016465,1.0867178924259056,0.6915477497255763,0.0
Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999.0,25,14,1352,15.0,2,4,6,2,0,0,4,1,8,3,26,14,1,47,9,22,0,37.5,0.25,0.67,1.84,1.2,0.51,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.1331360946745562,0.2662721893491124,0.3994082840236686,0.1331360946745562,0.0,0.0,0.2662721893491124,0.0665680473372781,0.5325443786982248,0.1997041420118343,1.7307692307692308,0.9319526627218936,0.0665680473372781,3.1286982248520707,0.599112426035503,1.4644970414201184,0.0
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32.0,1993.0,28,27,2318,25.8,1,0,1,1,0,0,7,0,22,5,24,27,1,9,28,23,0,22.7,0.05,0.2,1.39,-0.04,0.2,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.03882657463330458,0.0,0.03882657463330458,0.03882657463330458,0.0,0.0,0.271786022433132,0.0,0.8541846419327006,0.19413287316652286,0.9318377911993097,1.0483175150992234,0.03882657463330458,0.34943917169974115,1.087144089732528,0.8930112165660051,0.0
Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22.0,2003.0,33,28,2584,28.7,6,4,10,6,0,1,6,0,84,22,32,42,5,62,9,13,0,26.2,0.07,0.27,0.61,-0.84,-1.02,,,,,,,,,,,,,,,FW,MF,True,Forward,True,True,True,0.2089783281733746,0.1393188854489164,0.34829721362229105,0.2089783281733746,0.0,0.0348297213622291,0.2089783281733746,0.0,2.9256965944272446,0.7662538699690402,1.1145510835913313,1.4628482972136223,0.17414860681114552,2.1594427244582044,0.31346749226006193,0.45278637770897834,0.0
Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,2000.0,26,25,2150,23.9,3,2,5,3,0,0,4,1,17,7,23,6,1,61,8,24,0,41.2,0.18,0.43,1.81,0.42,0.12,,,,,,,,,,,,,,,DF,MF,True,Defender,True,True,True,0.12558139534883722,0.08372093023255814,0.20930232558139533,0.12558139534883722,0.0,0.0,0.16744186046511628,0.04186046511627907,0.7116279069767442,0.2930232558139535,0.9627906976744186,0.25116279069767444,0.04186046511627907,2.5534883720930233,0.33488372093023255,1.0046511627906978,0.0
Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26.0,1999.0,23,17,1437,16.0,0,2,2,0,0,0,10,1,7,1,30,36,1,2,20,17,0,14.3,0.0,0.0,1.17,0.06,0.38,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.0,0.12526096033402923,0.12526096033402923,0.0,0.0,0.0,0.6263048016701461,0.06263048016701461,0.43841336116910234,0.06263048016701461,1.8789144050104385,2.2546972860125263,0.06263048016701461,0.12526096033402923,1.2526096033402923,1.0647181628392484,0.0
Francesco Acerbi,it ITA,DF,Inter,it Serie A,37.0,1988.0,18,15,1378,15.3,0,1,1,0,0,0,3,0,3,1,17,13,3,3,18,9,0,33.3,0.0,0.0,2.11,1.04,-0.63,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.0,0.06531204644412192,0.06531204644412192,0.0,0.0,0.0,0.19593613933236573,0.0,0.19593613933236573,0.06531204644412192,1.1103047895500726,0.8490566037735848,0.19593613933236573,0.19593613933236573,1.1756168359941945,0.5878084179970973,0.0
