Position_Group,Selected_K,Reference_Seed,Test_Seed,Adjusted_Rand_Index
Defender,2,42,0,1.0
Defender,2,42,1,1.0
Defender,2,42,7,1.0
Defender,2,42,21,1.0
Defender,2,42,42,1.0
Defender,2,42,77,1.0
Defender,2,42,100,1.0
Defender,2,42,2026,1.0
Forward,2,42,0,1.0
Forward,2,42,1,1.0
Forward,2,42,7,1.0
Forward,2,42,21,1.0
Forward,2,42,42,1.0
Forward,2,42,77,1.0
Forward,2,42,100,1.0
Forward,2,42,2026,1.0
Midfielder,2,42,0,1.0
Midfielder,2,42,1,1.0
Midfielder,2,42,7,1.0
Midfielder,2,42,21,1.0
Midfielder,2,42,42,1.0
Midfielder,2,42,77,1.0
Midfielder,2,42,100,1.0
Midfielder,2,42,2026,1.0
