Position_Group,Cluster,Representative_Rank,Player,Squad,Competition,Minutes,Distance_To_Cluster_Centre
Defender,0,1,Abdelhamid Ait Boudlal,Rennes,fr Ligue 1,1403,1.6854912468985008
Defender,0,2,Marc Pubill,Atlético Madrid,es La Liga,1381,1.7703871368869906
Defender,0,3,Robin Gosens,Fiorentina,it Serie A,1881,1.875937406513311
Defender,0,4,Nordi Mukiele,Sunderland,eng Premier League,2784,2.058602661387873
Defender,0,5,Marc Guéhi,Crystal Palace,eng Premier League,1800,2.060357189139087
Defender,0,6,Jan Paul van Hecke,Brighton,eng Premier League,3210,2.062858976994688
Defender,0,7,Ridle Baku,RB Leipzig,de Bundesliga,2504,2.0732007100712946
Defender,0,8,Lucas Beraldo,Paris Saint-Germain,fr Ligue 1,1567,2.1099915998148133
Defender,1,1,Vitor Reis,Girona,es La Liga,3138,1.1215634541928994
Defender,1,2,Jonny Castro,Alavés,es La Liga,2994,1.297125851299463
Defender,1,3,Robin Le Normand,Atlético Madrid,es La Liga,1789,1.3131309457357063
Defender,1,4,Moustapha Mbow,Paris FC,fr Ligue 1,2717,1.317386749874322
Defender,1,5,Jhon Lucumí,Bologna,it Serie A,2287,1.3584911034591567
Defender,1,6,Nicolò Bertola,Udinese,it Serie A,1763,1.3929034739289072
Defender,1,7,Nacho Vidal,Oviedo,es La Liga,2263,1.4185917521866827
Defender,1,8,Joachim Andersen,Fulham,eng Premier League,2875,1.4354105506864738
Forward,0,1,Ollie Watkins,Aston Villa,eng Premier League,2839,1.3151558635841947
Forward,0,2,Folarin Balogun,Monaco,fr Ligue 1,2230,1.3272334283043232
Forward,0,3,Toni Martínez,Alavés,es La Liga,2714,1.3393725082894923
Forward,0,4,Odsonne Édouard,Lens,fr Ligue 1,1796,1.4090829093266288
Forward,0,5,Callum Wilson,West Ham United,eng Premier League,1251,1.732950540990649
Forward,0,6,Richarlison,Tottenham Hotspur,eng Premier League,1964,1.7632563638608538
Forward,0,7,Gianluca Scamacca,Atalanta,it Serie A,1315,1.8017511620774307
Forward,0,8,João Pedro,Chelsea,eng Premier League,2661,1.8304125970430527
Forward,1,1,Olivier Giroud,Lille,fr Ligue 1,1609,1.469868526660961
Forward,1,2,Ignatius Ganago,Nantes,fr Ligue 1,929,1.478943722691675
Forward,1,3,Roberto Férnandez,Espanyol,es La Liga,2382,1.5356690023146653
Forward,1,4,Issa Soumaré,Le Havre,fr Ligue 1,2948,1.53601652212621
Forward,1,5,Shuto Machino,Gladbach,de Bundesliga,1076,1.5814474038244903
Forward,1,6,Jorge de Frutos,Rayo Vallecano,es La Liga,2463,1.616756626388392
Forward,1,7,Matthis Abline,Nantes,fr Ligue 1,2584,1.7988456162005202
Forward,1,8,Cyril Ngonge,Torino,it Serie A,994,1.821390982114706
Midfielder,0,1,Maghnes Akliouche,Monaco,fr Ligue 1,2400,1.2323387262315488
Midfielder,0,2,Marcus Tavernier,Bournemouth,eng Premier League,2732,1.2588725204449147
Midfielder,0,3,Jaidon Anthony,Burnley,eng Premier League,2722,1.2675958260335052
Midfielder,0,4,Viktor Tsyhankov,Girona,es La Liga,2630,1.3851941420129306
Midfielder,0,5,Jean Mattéo Bahoya,Eintracht Frankfurt,de Bundesliga,1331,1.544556373386964
Midfielder,0,6,Ritsu Doan,Eintracht Frankfurt,de Bundesliga,2364,1.586045171148548
Midfielder,0,7,Morgan Rogers,Aston Villa,eng Premier League,3280,1.6406650221810068
Midfielder,0,8,Dango Ouattara,Brentford,eng Premier League,2276,1.649611678849917
Midfielder,1,1,Michel Aebischer,Pisa,it Serie A,2892,1.112909448033804
Midfielder,1,2,Joel Fujita,St Pauli,de Bundesliga,2665,1.1423579044050416
Midfielder,1,3,Mahdi Camara,Rennes,fr Ligue 1,2653,1.1544619399536449
Midfielder,1,4,Tyler Morton,Lyon,fr Ligue 1,2517,1.1696974653106358
Midfielder,1,5,Adam Wharton,Crystal Palace,eng Premier League,2552,1.1701834752597178
Midfielder,1,6,Marcel Sabitzer,Dortmund,de Bundesliga,1817,1.1890361674285999
Midfielder,1,7,Carlos Augusto,Inter,it Serie A,1763,1.2548059357459482
Midfielder,1,8,Koke,Atlético Madrid,es La Liga,2219,1.3234815263883721
