Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Fls,Fld,Off,Crs,Int,TklW,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90_calc,Ast_per90_calc,G-PK_per90_calc,CrdY_per90_calc,CrdR_per90_calc,Sh_per90_calc,SoT_per90_calc,Fls_per90_calc,Fld_per90_calc,Off_per90_calc,Crs_per90_calc,Int_per90_calc,TklW_per90_calc,OG_per90_calc
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,24.0,2000.0,37,30,2449,27.2,4,5,9,4,0,0,3,0,0.33,47,17,36.2,1.73,0.62,0.09,0.24,66,71.6,77.0,2,7,21.0,1,1.19,35,31,4,0.15,1.17,20,51,5,37,17,27,0,,,,,,,,,,,,,,,MF,FW,True,Midfielder,True,True,True,0.14699877501020825,0.18374846876276033,0.14699877501020825,0.11024908125765619,0.0,1.7272356063699468,0.6247447937933851,0.7349938750510413,1.874234381380155,0.18374846876276033,1.3597386688444262,0.6247447937933851,0.9922417313189057,0.0
Jerome Abbey,eng ENG,MF,Wolves,eng Premier League,15.0,2009.0,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0,0,,0.0,0.0,,,17,0.5,,0,1,17.0,1,1.0,0,0,0,0.0,1.08,0,0,1,0,1,0,0,,,,,,,,,,,,,,,MF,,False,Midfielder,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.294117647058823,0.0,5.294117647058823,0.0,0.0
Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19.0,2006.0,3,2,164,1.8,0,0,0,0,0,0,0,0,0.0,0,0,,0.0,0.0,,,55,4.8,60.0,0,1,45.0,13,1.0,2,4,-2,-1.1,-1.07,3,1,0,3,2,4,0,,,,,,,,,,,,,,,DF,,False,Defender,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646341463414634,0.5487804878048781,0.0,1.646341463414634,1.0975609756097562,2.1951219512195124,0.0
Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19.0,2006.0,22,4,681,7.6,2,0,2,2,0,0,0,0,0.26,17,4,23.5,2.25,0.53,0.12,0.5,31,19.9,75.0,1,18,21.0,16,1.55,17,12,5,0.66,0.66,7,3,2,30,3,3,0,,,,,,,,,,,,,,,MF,FW,True,Midfielder,True,False,False,0.2643171806167401,0.0,0.2643171806167401,0.0,0.0,2.246696035242291,0.5286343612334802,0.9251101321585903,0.39647577092511016,0.2643171806167401,3.9647577092511015,0.39647577092511016,0.39647577092511016,0.0
Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,25.0,1999.0,8,1,138,1.5,0,0,0,0,0,0,1,0,0.0,4,1,25.0,2.61,0.65,0.0,0.0,17,4.5,58.0,0,7,11.0,2,1.0,2,8,-6,-3.91,-4.65,3,0,0,1,2,1,0,,,,,,,,,,,,,,,MF,,False,Midfielder,False,False,False,0.0,0.0,0.0,0.6521739130434783,0.0,2.608695652173913,0.6521739130434783,1.9565217391304348,0.0,0.0,0.6521739130434783,1.3043478260869565,0.6521739130434783,0.0
Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25.0,1999.0,13,11,943,10.5,2,0,2,0,2,2,1,0,0.0,11,5,45.5,1.05,0.48,0.0,0.0,73,30.8,81.0,4,2,25.0,0,1.38,12,13,-1,-0.1,0.67,16,12,1,9,13,17,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,False,0.19088016967126195,0.0,0.0,0.09544008483563098,0.0,1.0498409331919407,0.47720042417815484,1.5270413573700956,1.1452810180275717,0.09544008483563098,0.8589607635206787,1.2407211028632026,1.6224814422057265,0.0
Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,31.0,1993.0,22,13,1187,13.2,3,0,3,3,0,0,4,1,0.23,16,4,25.0,1.21,0.3,0.19,0.75,54,38.8,76.0,7,9,23.0,2,0.68,19,17,2,0.15,1.35,22,18,1,33,10,11,0,,,,,,,,,,,,,,,MF,DF,True,Midfielder,True,True,False,0.22746419545071608,0.0,0.22746419545071608,0.3032855939342881,0.07582139848357203,1.2131423757371524,0.3032855939342881,1.6680707666385846,1.3647851727042966,0.07582139848357203,2.5021061499578767,0.7582139848357202,0.8340353833192923,0.0
Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000.0,18,12,911,10.1,0,0,0,0,0,0,3,0,0.0,1,0,0.0,0.1,0.0,0.0,,51,29.8,67.0,2,6,18.0,12,1.06,15,17,-2,-0.2,0.68,19,10,0,2,11,7,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,False,0.0,0.0,0.0,0.29637760702524696,0.0,0.09879253567508232,0.0,1.8770581778265643,0.9879253567508234,0.0,0.19758507135016465,1.0867178924259056,0.6915477497255763,0.0
Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999.0,25,14,1352,15.0,2,4,6,2,0,0,4,1,0.4,8,3,37.5,0.53,0.2,0.25,0.67,54,44.2,83.0,8,11,18.0,6,1.84,35,17,18,1.2,0.51,26,14,1,47,9,22,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.1331360946745562,0.2662721893491124,0.1331360946745562,0.2662721893491124,0.0665680473372781,0.5325443786982248,0.1997041420118343,1.7307692307692308,0.9319526627218936,0.0665680473372781,3.1286982248520707,0.599112426035503,1.4644970414201184,0.0
Tay Abed,il ISR,MF,Levante,es La Liga,21.0,2004.0,7,0,93,1.0,0,0,0,0,0,0,0,0,0.0,2,1,50.0,1.94,0.97,0.0,0.0,13,2.7,,0,7,13.0,11,1.14,2,3,-1,-0.97,-0.62,2,2,0,5,2,1,0,,,,,,,,,,,,,,,MF,,False,Midfielder,False,False,False,0.0,0.0,0.0,0.0,0.0,1.935483870967742,0.967741935483871,1.935483870967742,1.935483870967742,0.0,4.838709677419355,1.935483870967742,0.967741935483871,0.0
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32.0,1993.0,28,27,2318,25.8,1,0,1,1,0,0,7,0,0.04,22,5,22.7,0.85,0.19,0.05,0.2,83,75.8,85.0,19,1,22.0,0,1.39,40,41,-1,-0.04,0.2,24,27,1,9,28,23,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.03882657463330458,0.0,0.03882657463330458,0.271786022433132,0.0,0.8541846419327006,0.19413287316652286,0.9318377911993097,1.0483175150992234,0.03882657463330458,0.34943917169974115,1.087144089732528,0.8930112165660051,0.0
Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22.0,2003.0,33,28,2584,28.7,6,4,10,6,0,1,6,0,0.35,84,22,26.2,2.93,0.77,0.07,0.27,78,84.4,88.0,20,5,26.0,0,0.61,25,49,-24,-0.84,-1.02,32,42,5,62,9,13,0,,,,,,,,,,,,,,,FW,MF,True,Forward,True,True,True,0.2089783281733746,0.1393188854489164,0.2089783281733746,0.2089783281733746,0.0,2.9256965944272446,0.7662538699690402,1.1145510835913313,1.4628482972136223,0.17414860681114552,2.1594427244582044,0.31346749226006193,0.45278637770897834,0.0
Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,2000.0,26,25,2150,23.9,3,2,5,3,0,0,4,1,0.21,17,7,41.2,0.71,0.29,0.18,0.43,83,70.3,86.0,17,1,3.0,2,1.81,35,25,10,0.42,0.12,23,6,1,61,8,24,0,,,,,,,,,,,,,,,DF,MF,True,Defender,True,True,True,0.12558139534883722,0.08372093023255814,0.12558139534883722,0.16744186046511628,0.04186046511627907,0.7116279069767442,0.2930232558139535,0.9627906976744186,0.25116279069767444,0.04186046511627907,2.5534883720930233,0.33488372093023255,1.0046511627906978,0.0
Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,25.0,2000.0,15,6,511,5.7,0,0,0,0,0,0,4,0,0.0,7,2,28.6,1.23,0.35,0.0,0.0,34,14.9,59.0,0,9,18.0,5,0.53,2,11,-9,-1.59,-1.28,12,11,7,18,1,12,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,False,False,0.0,0.0,0.0,0.7045009784735812,0.0,1.2328767123287672,0.3522504892367906,2.1135029354207435,1.9373776908023483,1.2328767123287672,3.170254403131115,0.1761252446183953,2.1135029354207435,0.0
Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26.0,1999.0,23,17,1437,16.0,0,2,2,0,0,0,10,1,0.13,7,1,14.3,0.44,0.06,0.0,0.0,62,42.0,75.0,7,6,26.0,0,1.17,15,14,1,0.06,0.38,30,36,1,2,20,17,0,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.0,0.12526096033402923,0.0,0.6263048016701461,0.06263048016701461,0.43841336116910234,0.06263048016701461,1.8789144050104385,2.2546972860125263,0.06263048016701461,0.12526096033402923,1.2526096033402923,1.0647181628392484,0.0
Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,27.0,1997.0,12,2,286,3.2,2,0,2,2,0,0,0,0,0.63,9,3,33.3,2.83,0.94,0.22,0.67,24,8.4,75.0,1,10,14.0,2,1.0,4,8,-4,-1.26,-1.57,2,0,0,1,0,1,0,,,,,,,,,,,,,,,FW,,False,Forward,False,False,False,0.6293706293706294,0.0,0.6293706293706294,0.0,0.0,2.8321678321678325,0.9440559440559441,0.6293706293706294,0.0,0.0,0.3146853146853147,0.0,0.3146853146853147,0.0
Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24.0,2001.0,8,7,526,5.8,0,0,0,0,0,0,2,0,0.0,6,0,0.0,1.03,0.0,0.0,,66,17.2,69.0,1,1,45.0,3,1.13,10,7,3,0.51,0.58,5,4,0,0,8,12,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,False,False,0.0,0.0,0.0,0.34220532319391633,0.0,1.0266159695817492,0.0,0.8555133079847909,0.6844106463878327,0.0,0.0,1.3688212927756653,2.0532319391634983,0.0
Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,22.0,2003.0,23,6,698,7.8,2,0,2,2,0,0,1,0,0.26,23,9,39.1,2.97,1.16,0.09,0.22,30,22.8,64.0,0,17,19.0,9,0.52,8,20,-12,-1.55,-0.33,8,11,1,38,5,8,0,,,,,,,,,,,,,,,MF,FW,True,Midfielder,True,False,False,0.25787965616045844,0.0,0.25787965616045844,0.12893982808022922,0.0,2.965616045845272,1.1604584527220632,1.0315186246418337,1.4183381088825215,0.12893982808022922,4.899713467048711,0.6446991404011462,1.0315186246418337,0.0
Mathieu Acapandié,mg MAD,"DF,MF",Nantes,fr Ligue 1,20.0,2004.0,7,3,351,3.9,0,0,0,0,0,0,0,0,0.0,0,0,,0.0,0.0,,,50,11.5,86.0,2,4,23.0,1,0.57,3,7,-4,-1.03,-0.39,3,0,0,11,3,2,0,,,,,,,,,,,,,,,DF,MF,True,Defender,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,2.8205128205128207,0.7692307692307693,0.5128205128205129,0.0
Francesco Acerbi,it ITA,DF,Inter,it Serie A,37.0,1988.0,18,15,1378,15.3,0,1,1,0,0,0,3,0,0.07,3,1,33.3,0.2,0.07,0.0,0.0,77,40.3,88.0,12,3,22.0,18,2.11,34,18,16,1.04,-0.63,17,13,3,3,18,9,0,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.0,0.06531204644412192,0.0,0.19593613933236573,0.0,0.19593613933236573,0.06531204644412192,1.1103047895500726,0.8490566037735848,0.19593613933236573,0.19593613933236573,1.1756168359941945,0.5878084179970973,0.0
Ragnar Ache,de GER,FW,Köln,de Bundesliga,27.0,1998.0,29,18,1718,19.1,7,4,11,7,0,0,3,0,0.58,52,22,42.3,2.72,1.15,0.13,0.32,59,56.1,78.0,3,11,29.0,0,1.03,27,38,-11,-0.58,-0.38,18,29,10,1,4,8,0,,,,,,,,,,,,,,,FW,,False,Forward,True,True,True,0.36670547147846333,0.20954598370197905,0.36670547147846333,0.15715948777648428,0.0,2.724097788125728,1.1525029103608846,0.9429569266589057,1.519208381839348,0.5238649592549477,0.05238649592549476,0.20954598370197905,0.4190919674039581,0.0
Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19.0,2006.0,17,8,666,7.4,1,0,1,1,0,0,1,0,0.14,4,2,50.0,0.54,0.27,0.25,0.5,39,19.5,71.0,1,9,11.0,18,1.18,10,13,-3,-0.41,-0.7,2,9,2,1,12,8,0,,,,,,,,,,,,,,,DF,,False,Defender,True,False,False,0.13513513513513514,0.0,0.13513513513513514,0.13513513513513514,0.0,0.5405405405405406,0.2702702702702703,0.2702702702702703,1.2162162162162162,0.2702702702702703,0.13513513513513514,1.6216216216216217,1.0810810810810811,0.0
Akor Adams,ng NGA,FW,Sevilla,es La Liga,25.0,2000.0,32,21,2064,22.9,10,3,13,7,3,3,3,0,0.44,61,30,49.2,2.66,1.31,0.11,0.23,65,60.4,85.0,14,11,25.0,1,1.13,32,40,-8,-0.35,0.05,36,12,41,17,1,4,0,,,,,,,,,,,,,,,FW,,False,Forward,True,True,True,0.436046511627907,0.1308139534883721,0.30523255813953487,0.1308139534883721,0.0,2.6598837209302326,1.3081395348837208,1.569767441860465,0.5232558139534884,1.7877906976744187,0.741279069767442,0.0436046511627907,0.1744186046511628,0.0
Che Adams,sct SCO,FW,Torino,it Serie A,29.0,1996.0,33,19,1893,21.0,6,2,8,6,0,0,0,0,0.38,53,18,34.0,2.52,0.86,0.11,0.33,57,55.4,76.0,4,14,32.0,2,1.18,26,30,-4,-0.19,0.69,18,15,9,14,1,9,0,,,,,,,,,,,,,,,FW,,False,Forward,True,True,True,0.28526148969889065,0.09508716323296355,0.28526148969889065,0.0,0.0,2.519809825673534,0.8557844690966719,0.8557844690966719,0.7131537242472267,0.42789223454833597,0.6656101426307449,0.04754358161648178,0.42789223454833597,0.0
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26.0,1999.0,25,21,1773,19.7,2,2,4,2,0,0,8,0,0.2,10,6,60.0,0.51,0.3,0.2,0.33,71,51.8,79.0,10,4,28.0,1,1.52,25,28,-3,-0.15,-0.53,36,13,1,3,30,24,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.10152284263959392,0.10152284263959392,0.10152284263959392,0.4060913705583757,0.0,0.5076142131979695,0.3045685279187817,1.8274111675126903,0.6598984771573604,0.05076142131979696,0.15228426395939085,1.5228426395939085,1.2182741116751268,0.0
Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24.0,2001.0,9,7,446,5.0,1,1,2,1,0,0,1,0,0.4,8,3,37.5,1.61,0.61,0.13,0.33,50,14.6,61.0,0,2,9.0,10,1.44,7,4,3,0.61,0.92,10,9,6,2,5,6,0,,,,,,,,,,,,,,,FW,,False,Forward,False,False,False,0.20179372197309417,0.20179372197309417,0.20179372197309417,0.20179372197309417,0.0,1.6143497757847534,0.6053811659192826,2.0179372197309418,1.8161434977578474,1.2107623318385652,0.40358744394618834,1.0089686098654709,1.2107623318385652,0.0
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27.0,1997.0,16,8,795,8.8,0,0,0,0,0,0,2,0,0.0,2,0,0.0,0.23,0.0,0.0,,50,23.2,80.0,6,8,19.0,12,1.44,16,14,2,0.23,0.09,6,0,1,0,9,6,0,,,,,,,,,,,,,,,DF,,False,Defender,True,False,False,0.0,0.0,0.0,0.22641509433962262,0.0,0.22641509433962262,0.0,0.6792452830188679,0.0,0.11320754716981131,0.0,1.0188679245283019,0.6792452830188679,0.0
Jayden Addai,nl NED,MF,Como,it Serie A,19.0,2005.0,12,7,686,7.6,3,0,3,3,0,0,4,0,0.39,13,6,46.2,1.71,0.79,0.23,0.5,57,20.1,75.0,2,5,32.0,6,1.25,11,6,5,0.66,-0.36,13,14,2,10,2,2,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,False,False,0.3935860058309038,0.0,0.3935860058309038,0.5247813411078717,0.0,1.7055393586005831,0.7871720116618076,1.7055393586005831,1.8367346938775508,0.26239067055393583,1.3119533527696792,0.26239067055393583,0.26239067055393583,0.0
